name,band,duration,genre
Song One,The Band,210,ROCK
Song Two,Another Band,180,POP
Midnight Drive,The Night Riders,240,ROCK
Summer Breeze,Sunshine Crew,195,POP
Electric Heart,Neon Lights,230,ELECTRONICA
Forever Yours,Lovely Days,205,POP
Shadows Fall,Dark Horizon,260,ROCK
City Lights,Urban Groove,215,HIPHOP
Dreamcatcher,Star Gazers,225,JAZZ
Ocean Waves,Blue Tides,200,BLUES
Silent Whisper,Moonlight Echoes,185,CLASICA
Firestarter,The Blaze,250,ROCK
Golden Hour,Sunset Riders,220,COUNTRY
Heartbeat City,Metro Pulse,210,POP
Neon Nights,Luminous Souls,240,ELECTRONICA
Wildflower,Meadow Spirits,195,COUNTRY
Rising Sun,Dawn Patrol,230,ROCK
Crystal Skies,Clear Horizon,205,JAZZ
Lost in Time,The Wanderers,215,ROCK
Starlit Path,Nightwalkers,225,POP
Echoes,Resonance,200,BLUES
Breakaway,Free Spirits,185,POP
Silver Lining,Cloud Nine,250,POP
Thunder Road,Storm Chasers,220,ROCK
Velvet Touch,Smooth Operators,210,BLUES
Afterglow,Dusk Till Dawn,240,ELECTRONICA
Winds of Change,New Era,195,COUNTRY
Moonlight Serenade,Evening Stars,230,JAZZ
Electric Pulse,Voltage,205,ELECTRONICA
Road to Nowhere,Lost Souls,215,ROCK
Midnight Whisper,Shadow Play,210,ROCK
Sunset Boulevard,Night Riders,180,POP
Neon Dreams,Electric Avenue,240,ELECTRONICA
Blue Horizon,Ocean Wave,195,BLUES
Country Roads,Backyard Band,230,COUNTRY
Jazz in Motion,The Cool Cats,220,JAZZ
City Vibes,Urban Legends,215,HIPHOP
Silent Night,Moonlit Voices,185,CLASICA
Storm Chaser,Thunder Squad,250,ROCK
Golden Fields,Sunset Valley,205,COUNTRY
Heartbeat Rhythm,Metro Beats,210,POP
Electric Avenue,Luminous Lights,240,ELECTRONICA
Wild Winds,Spirit Trail,195,COUNTRY
Rising Tide,Daybreakers,230,ROCK
Crystal Dreams,Clear View,205,JAZZ
Lost Horizon,Wanderlust,215,ROCK
Starlight Groove,Nightwalkers,225,POP
Echo Chamber,Resonance,200,BLUES
Break Free,Free Spirits,185,POP
Silver Moon,Cloud Watchers,250,POP
Thunder Strike,Stormfront,220,ROCK
Velvet Groove,Smooth Operators,210,BLUES
After Dark,Dusk Riders,240,ELECTRONICA
Windswept Plains,New Dawn,195,COUNTRY
Moonlight Dance,Evening Glow,230,JAZZ
Electric Storm,Voltage Surge,205,ELECTRONICA
Road Runner,Lost Highway,215,ROCK
Steel Thunder,Iron Wolves,235,ROCK
Morning Glow,Sunrise Echo,190,POP
Digital Mirage,Synthetic Dreams,245,ELECTRONICA
Urban Pulse,Metro Hustle,210,HIPHOP
Smooth Sailing,Blue Note,220,JAZZ
Dusty Trails,Rustic Roads,200,COUNTRY
Silent Echo,Quiet Shadows,180,CLASICA
Firelight Anthem,Blazing Hearts,255,ROCK
Golden Meadow,Field Notes,215,COUNTRY
Neon Horizon,Electric Pulse,230,ELECTRONICA
City Streets,Concrete Waves,205,HIPHOP
Velvet Sky,Night Breeze,225,JAZZ
Ocean Mist,Blue Horizon,195,BLUES
Moonbeam Serenade,Lunar Lights,185,CLASICA
Thunder Clash,Storm Front,240,ROCK
Summer Nights,Sweet Escape,200,POP
Binary Love,Cyber Heart,250,ELECTRONICA
Rhythm Drive,Street Beats,215,HIPHOP
Jazz Mirage,Smooth Flow,225,JAZZ
Country Sunset,Golden Plains,190,COUNTRY
Shadow Dance,Mystic Veil,210,CLASICA
Rock the Night,The Thunderbolts,245,ROCK
Pop Star,Rhythm Nation,185,POP
Electric Dreams,Synth City,235,ELECTRONICA
Urban Legends,Metro Groove,220,HIPHOP
Blue Note,Breezy Days,200,BLUES
Classic Tale,Timeless Echo,180,CLASICA
Rolling Hills,Country Roads,210,COUNTRY
Firestorm,Fury Road,250,ROCK
Golden Light,Sunset Glow,195,POP
Digital Love,Neon Hearts,240,ELECTRONICA
Street Fighter,City Beat,215,HIPHOP
Jazz Vibes,Midnight Soul,225,JAZZ
Country Road,Wild Frontier,200,COUNTRY
Storm Rider,Thunder Road,245,ROCK
Iron Wings,Steel Falcons,230,ROCK
Crystal Moonlight,Luminous Dreams,190,POP
Electric Surge,Neon Pulse,245,ELECTRONICA
Urban Shadows,City Lights,210,HIPHOP
Blue Velvet,Midnight Jazz,220,JAZZ
Golden Harvest,Sunset Fields,200,COUNTRY
Silent Reflection,Moonlit Path,180,CLASICA
Flame Runner,Blazing Trails,255,ROCK
